model,features,accuracy_vs_kaggle,improvement,model_name,feature_nums
dt,"sex_pclass, is_child",0.78468,0.00957,Decision Tree,"[9, 10]"
dt,"age_group, is_mother, sex_pclass",0.78468,0.00957,Decision Tree,"[4, 8, 9]"
dt,"title, family_size, fare_per_person, is_mother, sex_pclass",0.74162,-0.03349,Decision Tree,"[1, 2, 5, 8, 9]"
dt,"is_alone, age_group, is_mother, sex_pclass, is_child",0.78468,0.00957,Decision Tree,"[3, 4, 8, 9, 10]"
dt,"title, family_size, age_group, fare_per_person, deck, has_cabin, is_child",0.74162,-0.03349,Decision Tree,"[1, 2, 4, 5, 6, 7, 10]"
dt,"title, family_size, is_alone, age_group, has_cabin, is_mother, is_child, women_children_first",0.77033,-0.00478,Decision Tree,"[1, 2, 3, 4, 7, 8, 10, 11]"
dt,"title, family_size, is_alone, age_group, has_cabin, is_mother, sex_pclass, women_children_first",0.77033,-0.00478,Decision Tree,"[1, 2, 3, 4, 7, 8, 9, 11]"
dt,"title, family_size, is_alone, age_group, has_cabin, sex_pclass, is_child, women_children_first",0.77033,-0.00478,Decision Tree,"[1, 2, 3, 4, 7, 9, 10, 11]"
dt,"title, family_size, is_alone, age_group, is_mother, sex_pclass, is_child, women_children_first",0.77033,-0.00478,Decision Tree,"[1, 2, 3, 4, 8, 9, 10, 11]"
dt,"title, family_size, is_alone, fare_per_person, deck, has_cabin, sex_pclass, is_child",0.74162,-0.03349,Decision Tree,"[1, 2, 3, 5, 6, 7, 9, 10]"
xgb,"title, age_group, has_cabin, sex_pclass, is_child",0.79186,0.04066,XGBoost,"[1, 4, 7, 9, 10]"
xgb,"title, age_group, has_cabin, sex_pclass, women_children_first",0.79186,0.04066,XGBoost,"[1, 4, 7, 9, 11]"
xgb,"title, fare_per_person, has_cabin, is_mother, sex_pclass",0.76555,0.01435,XGBoost,"[1, 5, 7, 8, 9]"
xgb,"family_size, age_group, deck, is_child, women_children_first",0.76555,0.01435,XGBoost,"[2, 4, 6, 10, 11]"
xgb,"title, age_group, has_cabin, sex_pclass, is_child, women_children_first",0.79186,0.04066,XGBoost,"[1, 4, 7, 9, 10, 11]"
xgb,"title, family_size, is_alone, age_group, fare_per_person, deck, is_mother, sex_pclass",0.73684,-0.01434,XGBoost,"[1, 2, 3, 4, 5, 6, 8, 9]"
xgb,"title, is_alone, age_group, fare_per_person, deck, has_cabin, sex_pclass, is_child",0.76555,0.01435,XGBoost,"[1, 3, 4, 5, 6, 7, 9, 10]"
xgb,"title, family_size, is_alone, age_group, fare_per_person, deck, has_cabin, is_mother, sex_pclass",0.73684,-0.01434,XGBoost,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
xgb,"title, family_size, is_alone, age_group, fare_per_person, deck, is_mother, sex_pclass, is_child",0.73684,-0.01434,XGBoost,"[1, 2, 3, 4, 5, 6, 8, 9, 10]"
xgb,"title, family_size, is_alone, age_group, deck, is_mother, sex_pclass, is_child, women_children_first",0.76555,0.01435,XGBoost,"[1, 2, 3, 4, 6, 8, 9, 10, 11]"
rf,"title, age_group, fare_per_person",0.76555,0.0,Random Forest,"[1, 4, 5]"
rf,"title, deck, women_children_first",0.78947,0.02392,Random Forest,"[1, 6, 11]"
rf,"title, has_cabin, is_child",0.78947,0.02392,Random Forest,"[1, 7, 10]"
rf,"title, has_cabin, is_child, women_children_first",0.78947,0.02392,Random Forest,"[1, 7, 10, 11]"
rf,"age_group, fare_per_person, has_cabin, is_child",0.76555,0.0,Random Forest,"[4, 5, 7, 10]"
rf,"title, family_size, age_group, fare_per_person, has_cabin, is_mother",0.72966,-0.03588,Random Forest,"[1, 2, 4, 5, 7, 8]"
rf,"title, family_size, age_group, fare_per_person, has_cabin, is_mother, is_child",0.72966,-0.03588,Random Forest,"[1, 2, 4, 5, 7, 8, 10]"
rf,"title, age_group, fare_per_person, deck, has_cabin, sex_pclass, is_child",0.76555,0.0,Random Forest,"[1, 4, 5, 6, 7, 9, 10]"
rf,"title, age_group, fare_per_person, deck, has_cabin, sex_pclass, women_children_first",0.76555,0.0,Random Forest,"[1, 4, 5, 6, 7, 9, 11]"
rf,"title, family_size, is_alone, age_group, fare_per_person, has_cabin, is_mother, sex_pclass, is_child",0.72966,-0.03588,Random Forest,"[1, 2, 3, 4, 5, 7, 8, 9, 10]"
lgbm,"fare_per_person, is_mother, is_child",0.77511,0.00717,LightGBM,"[5, 8, 10]"
lgbm,"title, has_cabin, is_mother, is_child",0.79186,0.02392,LightGBM,"[1, 7, 8, 10]"
lgbm,"title, has_cabin, sex_pclass, is_child",0.78947,0.02153,LightGBM,"[1, 7, 9, 10]"
lgbm,"title, family_size, age_group, fare_per_person, sex_pclass",0.75119,-0.01674,LightGBM,"[1, 2, 4, 5, 9]"
lgbm,"title, has_cabin, is_mother, is_child, women_children_first",0.78947,0.02153,LightGBM,"[1, 7, 8, 10, 11]"
lgbm,"family_size, age_group, has_cabin, is_child, women_children_first",0.77511,0.00717,LightGBM,"[2, 4, 7, 10, 11]"
lgbm,"family_size, age_group, has_cabin, sex_pclass, women_children_first",0.77511,0.00717,LightGBM,"[2, 4, 7, 9, 11]"
lgbm,"family_size, fare_per_person, deck, sex_pclass, is_child",0.77511,0.00717,LightGBM,"[2, 5, 6, 9, 10]"
lgbm,"title, family_size, age_group, fare_per_person, sex_pclass, is_child",0.75119,-0.01674,LightGBM,"[1, 2, 4, 5, 9, 10]"
lgbm,"title, family_size, is_alone, age_group, fare_per_person, sex_pclass, is_child",0.75119,-0.01674,LightGBM,"[1, 2, 3, 4, 5, 9, 10]"
cb,"title, age_group, has_cabin",0.79186,0.00956,CatBoost,"[1, 4, 7]"
cb,"title, age_group, deck, has_cabin",0.79186,0.00956,CatBoost,"[1, 4, 6, 7]"
cb,"is_alone, fare_per_person, sex_pclass, is_child",0.7799,-0.00239,CatBoost,"[3, 5, 9, 10]"
cb,"age_group, fare_per_person, has_cabin, is_mother",0.79425,0.01195,CatBoost,"[4, 5, 7, 8]"
cb,"title, is_alone, age_group, fare_per_person, sex_pclass, is_child",0.7799,-0.00239,CatBoost,"[1, 3, 4, 5, 9, 10]"
cb,"title, is_alone, fare_per_person, has_cabin, is_mother, women_children_first",0.7799,-0.00239,CatBoost,"[1, 3, 5, 7, 8, 11]"
cb,"is_alone, age_group, fare_per_person, is_mother, sex_pclass, women_children_first",0.7799,-0.00239,CatBoost,"[3, 4, 5, 8, 9, 11]"
cb,"title, family_size, is_alone, age_group, fare_per_person, deck, sex_pclass, is_child",0.75598,-0.02631,CatBoost,"[1, 2, 3, 4, 5, 6, 9, 10]"
cb,"title, family_size, is_alone, age_group, fare_per_person, deck, sex_pclass, women_children_first",0.75598,-0.02631,CatBoost,"[1, 2, 3, 4, 5, 6, 9, 11]"
cb,"title, family_size, is_alone, fare_per_person, deck, has_cabin, is_mother, sex_pclass, is_child, women_children_first",0.75598,-0.02631,CatBoost,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11]"
